experiment,training_corpus,test_corpus,comparison,n_participants,n_pos,n_neg,model,feature_set,n_features,AUROC,AUROC_95CI,AUPRC,balanced_accuracy,bacc_95CI,sensitivity,sens_95CI,specificity,spec_95CI,F1,Brier
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,HistGradientBoosting,age_only,1,0.4516,"(0.293, 0.614)",0.4703,0.4688,"(0.328, 0.603)",0.45,"(0.3, 0.6)",0.4875,"(0.263, 0.718)",0.4586,0.4408
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Dummy,age_only,1,0.4375,"(0.33, 0.555)",0.4727,0.4375,"(0.33, 0.555)",0.4375,"(0.267, 0.614)",0.4375,"(0.307, 0.6)",0.4375,0.5625
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Elastic-Net,v1_v2_age,22,0.6698,"(0.507, 0.827)",0.6478,0.6313,"(0.5, 0.76)",0.65,"(0.475, 0.822)",0.6125,"(0.412, 0.8)",0.638,0.2618
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Random Forest,v1_v2_age,22,0.67,"(0.49, 0.844)",0.6398,0.6313,"(0.475, 0.782)",0.7125,"(0.5, 0.9)",0.55,"(0.325, 0.773)",0.659,0.229
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,HistGradientBoosting,v1_v2_age,22,0.7284,"(0.553, 0.882)",0.6649,0.6687,"(0.533, 0.794)",0.6625,"(0.512, 0.8)",0.675,"(0.467, 0.862)",0.6667,0.32
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Dummy,v1_v2_age,22,0.4375,"(0.33, 0.555)",0.4727,0.4375,"(0.33, 0.555)",0.4375,"(0.267, 0.614)",0.4375,"(0.307, 0.6)",0.4375,0.5625
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Elastic-Net,V1_only,13,0.8266,"(0.674, 0.941)",0.7927,0.7563,"(0.638, 0.863)",0.8,"(0.65, 0.929)",0.7125,"(0.509, 0.893)",0.7665,0.1659
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Random Forest,V1_only,13,0.7552,"(0.585, 0.892)",0.6786,0.6813,"(0.55, 0.81)",0.6125,"(0.4, 0.8)",0.75,"(0.555, 0.908)",0.6577,0.206
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,HistGradientBoosting,V1_only,13,0.7147,"(0.572, 0.848)",0.6944,0.65,"(0.527, 0.768)",0.65,"(0.48, 0.817)",0.65,"(0.461, 0.827)",0.65,0.3457
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Dummy,V1_only,13,0.6125,"(0.5, 0.719)",0.5689,0.6125,"(0.5, 0.719)",0.6125,"(0.45, 0.771)",0.6125,"(0.459, 0.756)",0.6125,0.3875
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Elastic-Net,V2_only,8,0.4754,"(0.294, 0.636)",0.466,0.5062,"(0.371, 0.623)",0.4875,"(0.318, 0.65)",0.525,"(0.333, 0.689)",0.4968,0.2829
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Random Forest,V2_only,8,0.4867,"(0.292, 0.677)",0.4602,0.4875,"(0.338, 0.619)",0.475,"(0.326, 0.624)",0.5,"(0.271, 0.72)",0.481,0.3042
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,HistGradientBoosting,V2_only,8,0.4968,"(0.333, 0.661)",0.4754,0.55,"(0.418, 0.683)",0.55,"(0.4, 0.711)",0.55,"(0.339, 0.764)",0.55,0.4358
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Dummy,V2_only,8,0.6125,"(0.5, 0.719)",0.5689,0.6125,"(0.5, 0.719)",0.6125,"(0.45, 0.771)",0.6125,"(0.459, 0.756)",0.6125,0.3875
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Elastic-Net,V1_plus_V2,21,0.7928,"(0.641, 0.914)",0.7439,0.7125,"(0.595, 0.829)",0.7625,"(0.6, 0.895)",0.6625,"(0.456, 0.853)",0.7262,0.1831
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Random Forest,V1_plus_V2,21,0.6528,"(0.478, 0.817)",0.6043,0.6125,"(0.478, 0.733)",0.6125,"(0.437, 0.767)",0.6125,"(0.412, 0.8)",0.6125,0.2339
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,HistGradientBoosting,V1_plus_V2,21,0.6956,"(0.541, 0.835)",0.6724,0.6438,"(0.52, 0.77)",0.65,"(0.467, 0.813)",0.6375,"(0.44, 0.833)",0.646,0.3536
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Dummy,V1_plus_V2,21,0.6125,"(0.5, 0.719)",0.5689,0.6125,"(0.5, 0.719)",0.6125,"(0.45, 0.771)",0.6125,"(0.459, 0.756)",0.6125,0.3875
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Elastic-Net,age_only,1,0.8995,"(0.761, 0.999)",0.8584,0.85,"(0.718, 0.967)",0.8875,"(0.714, 1.0)",0.8125,"(0.6, 1.0)",0.8554,0.1316
